Zip,Address,List Price,List  Date,Approx Living Area,Approx Total SqFt,Cond,Beds Total,Baths Full,Baths Half,DOM,Close Price,Close Date,SP$/SQFT
70119,3204 Dumaine  St ,"$349,000",7/7/2022,905,905,AVG,2,1,0,38,"$300,000",9/22/2022,$331.49
70119,4217 Baudin  St ,"$419,900",7/29/2022,"1,850","2,050",EXCE,3,2,1,17,"$399,000",9/22/2022,$215.68
70115,1222 Toledano  St ,"$1,125,000",8/8/2022,"2,505","2,979",EXCE,4,2,1,7,"$1,125,000",9/22/2022,$449.10
70115,4100 Laurel  St ,"$748,000",5/24/2022,"2,387","3,480",VRGD,3,2,2,56,"$729,000",9/23/2022,$305.40
70118,299 Audubon  St ,"$1,350,000",6/7/2022,"2,930","2,930",VRGD,4,3,1,69,"$1,095,000",9/23/2022,$373.72
70115,3737 Clara  St ,"$434,900",6/30/2022,"1,830","2,049",EXCE,3,2,0,43,"$432,000",9/23/2022,$236.07
70115,912 Amelia  St ,"$425,000",8/24/2022,"1,105","1,172",EXCE,1,2,0,1,"$425,000",9/23/2022,$384.62
70118,1438 Leonidas  St ,"$295,000",8/25/2022,"1,064","1,070",EXCE,2,2,0,12,"$295,000",9/23/2022,$277.26
70118,7620 Pearl  St ,"$350,000",7/28/2022,"1,260","1,484",FAIR,3,2,0,32,"$300,000",9/24/2022,$238.10
70124,6666 Colbert  St ,"$599,000",6/30/2022,"1,906","3,253",EXCE,3,3,1,28,"$600,000",9/26/2022,$314.80
70124,6240 Louisville  St ,"$545,000",7/14/2022,"2,070","2,467",EXCE,3,2,1,29,"$540,000",9/26/2022,$260.87
70118,2105 State  St ,"$1,775,000",7/18/2022,"4,825","7,322",EXCE,5,4,1,6,"$1,710,000",9/26/2022,$354.40
70125,3475 Vincennes  Pl ,"$499,000",8/2/2022,"2,205","2,205",VRGD,3,2,0,22,"$462,500",9/26/2022,$209.75
70119,2433 Touro  St ,"$149,900",6/22/2022,882,"1,082",VRGD,2,1,0,59,"$149,000",9/27/2022,$168.93
70125,3327 Calhoun  St ,"$599,000",7/26/2022,"2,730","3,208",NEW,4,3,0,20,"$569,000",9/27/2022,$208.42
70125,3321 Calhoun  St ,"$599,000",7/26/2022,"2,664","2,958",NEW,4,3,1,20,"$569,000",9/27/2022,$213.59
70125,3300 Octavia  St ,"$699,000",8/12/2022,"2,855","3,291",EXCE,4,4,1,10,"$685,000",9/27/2022,$239.93
70118,1340 Calhoun  St ,"$2,250,000",6/24/2022,"3,940","4,083",EXCE,5,4,0,69,"$2,250,000",9/28/2022,$571.07
70115,5522 Laurel  St ,"$1,025,000",7/11/2022,"2,444","2,710",EXCE,3,3,0,30,"$1,010,000",9/28/2022,$413.26
70119,3519 Desaix  Blvd ,"$680,000",7/15/2022,"3,361","3,361",EXCE,4,3,1,46,"$660,000",9/28/2022,$196.37
70118,2627 Palmer  Ave ,"$470,000",7/20/2022,"1,433","1,433",VRGD,2,2,0,57,"$432,250",9/28/2022,$301.64
70118,8636 Oleander  St ,"$199,000",6/23/2022,"1,306","1,374",EXCE,3,2,0,25,"$199,000",9/29/2022,$152.37
70124,247 26th  St ,"$710,000",8/10/2022,"2,400","2,719",EXCE,4,2,1,15,"$695,000",9/29/2022,$289.58
70115,1135 Constantinople  St ,"$375,000",8/18/2022,870,977,VRGD,1,1,0,4,"$375,000",9/29/2022,$431.03
70118,1215 Pine  St ,"$650,000",8/30/2022,"2,332","3,692",AVG,4,2,1,7,"$725,000",9/29/2022,$310.89
70124,1001 Allen Toussaint  Blvd ,"$922,500",9/29/2022,"3,500","4,010",EXCE,3,2,1,0,"$922,500",9/29/2022,$263.57
70124,5881 Bellaire  Dr ,"$529,000",6/25/2022,"2,833","2,981",VRGD,4,3,1,40,"$525,000",9/30/2022,$185.32
70125,3219 State Street  Dr ,"$465,000",7/8/2022,"1,475","1,550",EXCE,2,2,0,50,"$460,000",9/30/2022,$311.86
70119,120 Alden  Pl ,"$290,000",7/25/2022,"1,099","1,183",VRGD,2,2,0,24,"$290,000",9/30/2022,$263.88
70119,1825 Hope  St ,"$239,000",8/3/2022,"1,713","1,905",VRGD,3,2,0,26,"$233,000",9/30/2022,$136.02
70118,8326 Sycamore  Pl ,"$729,000",8/4/2022,"2,432","3,610",EXCE,4,2,1,13,"$700,000",9/30/2022,$287.83
70125,3311 Nashville  Ave ,"$400,000",8/9/2022,"1,932","2,339",AVG,3,2,0,17,"$369,500",9/30/2022,$191.25
70124,5629 Ada  Pl ,"$485,000",8/25/2022,"1,803","2,248",EXCE,3,2,0,10,"$476,000",9/30/2022,$264.00
70119,3365 Belfort  St ,"$419,000",9/6/2022,"1,660","1,940",NEW,3,2,0,6,"$419,000",9/30/2022,$252.41
70124,6038 Canal  Blvd ,"$1,275,000",6/21/2022,"3,675","4,021",EXCE,5,4,0,46,"$1,175,000",10/3/2022,$319.73
70119,2413 St Anthony  St ,"$185,000",6/23/2022,"1,420","1,576",AVG,3,2,0,37,"$160,000",10/3/2022,$112.68
70118,8535 Jeannette  St ,"$399,000",7/21/2022,"1,558","1,858",NEW,3,2,1,36,"$399,000",10/3/2022,$256.10
70115,1830 General Taylor  St ,"$445,000",8/1/2022,"1,245","1,245",EXCE,2,2,0,22,"$435,000",10/3/2022,$349.40
70125,30 Versailles  Blvd ,"$898,000",8/8/2022,"4,128","5,253",EXCE,4,4,0,10,"$898,000",10/3/2022,$217.54
70115,5531 Laurel  St ,"$1,395,000",8/19/2022,"2,531","3,282",VRGD,3,3,0,14,"$1,325,000",10/3/2022,$523.51
70115,2612 Cadiz  St ,"$640,000",8/26/2022,"2,037","20,387",EXCE,3,2,1,17,"$600,000",10/3/2022,$294.55
70124,107  E Park  Pl ,"$420,000",6/17/2022,"1,601","1,631",VRGD,3,2,0,79,"$395,000",10/4/2022,$246.72
70124,5248 Marcia  Ave ,"$575,000",6/27/2022,"2,651","3,524",VRGD,3,2,1,15,"$575,000",10/4/2022,$216.90
70118,8626 Palmetto  St ,"$65,000",7/13/2022,"1,467","1,551",POOR,4,2,0,66,"$47,000",10/4/2022,$32.04
70115,5231 Laurel  St ,"$624,900",7/22/2022,"2,013","2,473",VRGD,3,2,0,30,"$609,000",10/4/2022,$302.53
70118,1023 Cambronne  St ,"$330,000",8/13/2022,"2,124","2,264",POOR,2,2,0,19,"$310,000",10/4/2022,$145.95
70115,2414 Valmont  St ,"$630,000",8/30/2022,"1,320","1,480",EXCE,2,2,0,4,"$615,000",10/4/2022,$465.91
70118,2417 Eagle  St ,"$99,000",6/9/2022,"1,404","1,464",POOR,2,1,0,14,"$90,000",10/5/2022,$64.10
70118,1018 Pine  St ,"$731,000",9/6/2022,"2,480","2,480",AVG,3,2,0,1,"$735,000",10/5/2022,$296.37
70115,3500 Laurel  St ,"$749,000",8/20/2022,"1,923","2,523",EXCE,3,2,1,18,"$749,000",10/6/2022,$389.50
70115,3529 Laurel  St ,"$1,200,000",9/15/2022,"2,950","3,195",NEW,4,3,1,0,"$1,200,000",10/6/2022,$406.78
70115,2416 Peniston  St ,"$399,000",8/23/2022,"1,530","1,719",EXCE,3,2,0,5,"$390,000",10/7/2022,$254.90
70118,27 Newcomb  Blvd ,"$1,250,000",8/26/2022,"2,630","5,575",VRGD,4,3,1,6,"$1,220,000",10/7/2022,$463.88
70124,6636 Center  St ,"$650,000",9/6/2022,"3,091","4,673",EXCE,4,3,1,1,"$635,000",10/7/2022,$205.44
70118,1906 Audubon  St ,"$599,000",6/6/2022,"2,073","2,170",EXCE,3,2,0,103,"$505,000",10/10/2022,$243.61
70118,4214 Eagle  St ,"$179,000",6/7/2022,832,966,EXCE,2,2,0,26,"$175,000",10/10/2022,$210.34
70124,116 Maryland  Dr ,"$455,000",9/14/2022,"1,218","1,466",EXCE,3,2,0,0,"$430,000",10/10/2022,$353.04
70115,2634 Marengo  St ,"$649,000",5/2/2022,"2,759","3,201",EXCE,4,2,1,144,"$640,000",10/11/2022,$231.97
70118,1129 Lowerline  St ,"$925,000",7/12/2022,"3,209","3,519",AVG,5,3,0,45,"$875,000",10/11/2022,$272.67
70119,425 Manasses  Aly ,"$169,900",5/8/2022,"1,215","1,311",AVG,3,1,0,49,"$165,000",10/12/2022,$135.80
70118,366 Millaudon  St ,"$865,000",6/21/2022,"4,072","4,812",VRGD,5,4,0,53,"$865,000",10/12/2022,$212.43
70124,5717 General Diaz  St ,"$420,000",9/6/2022,"1,840","2,355",VRGD,5,3,0,5,"$420,000",10/12/2022,$228.26
70124,208 Crystal  St ,"$580,000",9/7/2022,"1,980","3,190",VRGD,4,2,0,18,"$550,000",10/12/2022,$277.78
70124,6974 Argonne  Blvd ,"$689,000",4/29/2022,"3,024","3,184",EXCE,5,3,0,118,"$670,000",10/14/2022,$221.56
70115,740 Jena  St ,"$475,000",6/21/2022,"1,624","1,722",FAIR,3,2,0,55,"$405,000",10/14/2022,$249.38
70124,915 Conrad  St ,"$435,000",7/16/2022,"1,802","2,322",EXCE,2,1,1,43,"$415,000",10/14/2022,$230.30
70115,5721 St Charles  Ave ,"$1,650,000",8/11/2022,"2,800","3,000",EXCE,4,3,1,39,"$1,600,000",10/14/2022,$571.43
70115,1111 Nashville  Ave ,"$1,785,000",8/23/2022,"3,178","3,320",EXCE,4,4,1,24,"$1,650,000",10/14/2022,$519.19
70119,1043 Moss  St ,"$545,000",9/9/2022,978,"1,131",VRGD,2,2,0,10,"$495,000",10/14/2022,$506.13
70118,8432 Oleander  St ,"$205,000",9/17/2021,"1,017","1,088",VRGD,2,2,0,319,"$190,000",10/17/2022,$186.82
70119,1901 Hope  St ,"$279,000",5/10/2022,"1,722","1,938",EXCE,3,2,1,95,"$270,000",10/17/2022,$156.79
70115,2607 Valence  St ,"$695,000",8/17/2022,"2,468","2,720",VRGD,3,2,1,27,"$684,000",10/17/2022,$277.15
70124,990 Germain  St ,"$725,000",8/22/2022,"2,367","3,023",EXCE,4,3,1,26,"$704,075",10/17/2022,$297.45
70125,6203  S Rocheblave  St ,"$479,900",8/25/2022,"1,872","2,146",EXCE,3,2,0,3,"$479,900",10/17/2022,$256.36
70119,1739  N Dupre  St ,"$465,000",9/1/2022,"1,768","2,030",EXCE,3,2,1,7,"$475,000",10/17/2022,$268.67
70125,3214 Milan  St ,"$175,000",4/14/2022,"1,267","2,730",AVG,3,1,0,35,"$165,000",10/18/2022,$130.23
70119,4632 Palmyra  St ,"$399,000",8/30/2022,"1,352","2,929",AVG,3,3,0,17,"$370,500",10/18/2022,$274.04
70124,334 39th  St ,"$450,000",9/20/2022,"2,168","3,668",VRGD,4,2,0,0,"$442,500",10/18/2022,$204.11
70119,2050  N Dorgenois  St ,"$119,000",6/21/2022,"1,151","1,151",FAIR,3,2,0,36,"$114,000",10/19/2022,$99.04
70118,720 Calhoun  St ,"$645,000",7/15/2022,"1,900","1,900",VRGD,4,3,0,69,"$625,000",10/19/2022,$328.95
70124,31 Swallow  St ,"$449,000",7/29/2022,"1,816","1,903",VRGD,3,2,1,51,"$442,000",10/19/2022,$243.39
70124,2 Bluebird  St ,"$799,000",8/22/2022,"2,431","3,233",EXCE,4,3,2,23,"$775,000",10/19/2022,$318.80
70119,3401 Derby  Pl ,"$199,000",9/2/2022,"1,814","2,083",FAIR,4,2,0,28,"$140,000",10/19/2022,$77.18
70124,57 Thrasher  St ,"$499,000",9/13/2022,"1,521","1,647",EXCE,3,2,0,3,"$500,000",10/19/2022,$328.73
70118,1125 Hillary  St ,"$675,000",9/15/2021,"1,855","2,400",VRGD,2,2,0,196,"$600,000",10/21/2022,$323.45
70118,518 Fern  St ,"$950,000",11/17/2021,"2,996","3,143",VRGD,4,2,0,287,"$900,000",10/21/2022,$300.40
70119,639  N Pierce  St ,"$349,000",6/13/2022,960,"1,000",EXCE,2,1,0,76,"$320,000",10/21/2022,$333.33
70119,2701 Bayou  Rd ,"$375,000",7/1/2022,"2,778","2,778",FAIR,3,3,0,91,"$229,000",10/21/2022,$82.43
70124,6911 Vicksburg  St ,"$945,000",8/9/2022,"3,223","3,955",NEW,4,3,1,42,"$941,045",10/21/2022,$291.98
70119,3011 Banks  St ,"$475,000",8/12/2022,"2,571","2,671",VRGD,3,3,0,37,"$460,000",10/21/2022,$178.92
70115,621 Milan  St ,"$575,000",8/15/2022,"1,791","1,803",EXCE,3,2,1,26,"$560,000",10/21/2022,$312.67
70124,5818 Catina  St ,"$439,500",8/22/2022,"1,512","1,600",EXCE,3,2,0,5,"$420,000",10/21/2022,$277.78
70118,9010 Quince  St ,"$229,000",9/1/2022,956,"1,056",EXCE,2,2,0,-1,"$229,000",10/21/2022,$239.54
70119,2726 A P Tureaud  Ave ,"$286,500",9/2/2022,"1,595","1,730",NEW,3,2,1,17,"$285,000",10/21/2022,$178.68
70119,217  S Dupre  St ,"$389,000",9/13/2022,"1,421","1,520",EXCE,3,2,0,5,"$377,000",10/21/2022,$265.31
70115,1721 Joseph  St ,"$979,000",9/13/2022,"2,223","2,490",VRGD,3,2,0,2,"$965,000",10/21/2022,$434.10
70124,26 Bluebird  St ,"$595,000",6/14/2022,"2,232","3,051",EXCE,4,2,1,110,"$545,000",10/24/2022,$244.18
70124,201 Fairway  Dr ,"$1,059,000",9/5/2022,"3,744","3,995",EXCE,5,4,1,14,"$1,039,000",10/24/2022,$277.51
70124,6416 Louisville  St ,"$595,000",9/21/2022,"2,000","2,456",EXCE,3,2,0,9,"$585,000",10/24/2022,$292.50
70125,3031 Delachaise  St ,"$285,000",8/29/2022,"1,890","2,070",NEW,3,2,0,6,"$287,000",10/25/2022,$151.85
70118,2413 State  St ,"$1,150,000",9/16/2022,"3,100","3,400",EXCE,4,3,1,3,"$1,150,000",10/25/2022,$370.97
70115,1724 General Taylor  St ,"$375,000",6/28/2022,"1,416","1,650",VRGD,2,2,0,93,"$327,235",10/26/2022,$231.10
70125,4523 Walmsley  Ave ,"$499,000",9/9/2022,"1,824","1,944",EXCE,4,3,0,7,"$495,000",10/26/2022,$271.38
70118,2417 State  St ,"$559,000",6/30/2022,"2,151","2,846",AVG,5,2,0,76,"$530,000",10/27/2022,$246.40
70118,315 Audubon  St ,"$695,000",8/22/2022,"1,667","1,667",EXCE,3,2,0,32,"$650,000",10/27/2022,$389.92
70125,1701  S Salcedo  St ,"$215,000",9/16/2022,"1,520","1,937",EXCE,3,2,0,4,"$210,000",10/27/2022,$138.16
70115,3716 Annunciation  St ,"$649,000",6/13/2022,"2,246","2,426",EXCE,3,2,1,105,"$640,000",10/28/2022,$284.95
70118,69 Neron  Pl ,"$799,000",6/30/2022,"3,040","3,390",EXCE,4,3,1,51,"$765,000",10/28/2022,$251.64
70119,2527 Saint Ann  St ,"$189,900",7/29/2022,"1,013","1,013",FAIR,3,2,0,51,"$182,620",10/28/2022,$180.28
70119,1814 Duels  St ,"$105,000",8/12/2022,"2,260","2,260",FAIR,5,2,0,65,"$93,000",10/28/2022,$41.15
70125,5215  S Derbigny  St ,"$695,000",8/15/2022,"2,550","2,734",NEW,3,2,1,38,"$635,000",10/28/2022,$249.02
70125,4116 General Pershing  St ,"$575,000",8/26/2022,"2,432","4,800",NEW,3,2,1,43,"$578,000",10/28/2022,$237.66
70124,6557 Marshal Foch  St ,"$750,000",9/1/2022,"2,380","3,971",EXCE,3,3,0,18,"$740,000",10/28/2022,$310.92
70115,1018 Pleasant  St ,"$525,000",9/19/2022,"1,879","2,039",VRGD,3,2,0,7,"$525,000",10/28/2022,$279.40
70118,1623 Pine  St ,"$486,000",10/10/2022,"3,025","4,672",AVG,5,4,0,5,"$541,000",10/28/2022,$178.84
70115,713 General Pershing  St ,"$475,000",10/11/2022,"1,717","1,967",VRGD,3,2,0,2,"$470,000",10/28/2022,$273.73
70124,6868 Louisville  St ,"$975,000",6/9/2022,"3,951","4,561",EXCE,5,4,1,84,"$920,000",10/31/2022,$232.85
70124,134 Central Park  Pl ,"$919,000",8/4/2022,"3,120","3,358",EXCE,5,4,0,24,"$908,000",10/31/2022,$291.03
70118,2319 State  St ,"$1,100,000",8/8/2022,"2,975","3,614",EXCE,3,2,1,36,"$1,075,000",10/31/2022,$361.34
70118,7318 Pitt  St ,"$460,000",9/20/2022,"1,142","1,200",EXCE,3,2,0,7,"$440,000",10/31/2022,$385.29
70124,25 Oriole  St ,"$769,000",7/1/2022,"2,780","2,917",EXCE,4,4,0,50,"$745,505",11/1/2022,$268.17
70115,5352 Perrier  St ,"$525,000",9/12/2022,"1,173","1,193",AVG,2,2,0,21,"$508,400",11/1/2022,$433.42
70118,7810 Green  St ,"$615,000",6/13/2022,"2,084","2,112",EXCE,4,2,1,115,"$615,000",11/2/2022,$295.11
70115,4873 Laurel  St ,"$609,900",8/12/2022,"1,875","2,329",EXCE,3,2,0,48,"$602,500",11/2/2022,$321.33
70118,930 Adams  St ,"$365,000",6/13/2022,"1,003","1,087",VRGD,2,1,0,131,"$350,000",11/3/2022,$348.95
70125,3819 3rd  St ,"$135,000",8/14/2022,"1,116","3,930",AVG,3,2,0,5,"$146,831",11/3/2022,$131.57
70124,438 Bellaire  Dr ,"$445,000",1/27/2022,"1,663","1,663",VRGD,3,2,0,230,"$445,000",11/4/2022,$267.59
70115,2326 Robert  St ,"$399,900",5/6/2022,"2,692","2,942",AVG,4,2,0,118,"$380,000",11/4/2022,$141.16
70124,5523 Dayna  Ct ,"$750,000",6/6/2022,"2,916","4,012",EXCE,5,3,1,72,"$725,000",11/4/2022,$248.63
70119,4418 Baudin  St ,"$439,000",6/7/2022,"1,969","3,437",VRGD,3,2,1,104,"$422,000",11/4/2022,$214.32
70115,4023 Laurel  St ,"$499,000",6/20/2022,"1,353","2,221",EXCE,2,2,0,94,"$500,000",11/4/2022,$369.55
70115,5244 Camp  St ,"$384,900",8/19/2022,812,812,VRGD,2,1,0,60,"$345,000",11/4/2022,$424.88
70115,1418 Soniat  St ,"$985,000",9/13/2022,"2,774","2,799",VRGD,4,2,1,14,"$940,000",11/4/2022,$338.86
70125,3737 Napoleon  Ave ,"$399,000",6/23/2022,"2,945","3,600",VRGD,4,3,0,63,"$410,000",11/7/2022,$139.22
70118,2316 Cambronne  St ,"$215,000",8/19/2022,"1,366","1,914",FAIR,2,1,0,34,"$195,000",11/7/2022,$142.75
70118,8522 Panola  St ,"$289,900",8/26/2022,"1,072","1,072",EXCE,2,1,0,42,"$257,000",11/7/2022,$239.74
70124,6830 Marshal Foch  St ,"$550,000",8/30/2022,"2,120","2,510",EXCE,3,2,0,36,"$540,000",11/7/2022,$254.72
70124,5518 Cherlyn  Dr ,"$700,000",9/11/2022,"4,162","4,162",AVG,5,3,3,2,"$700,000",11/7/2022,$168.19
70119,111 Hathaway  Pl ,"$324,000",9/17/2022,"1,325","1,905",EXCE,2,2,0,23,"$325,000",11/8/2022,$245.28
70124,6382 Catina  St ,"$599,000",9/2/2022,"1,897","2,295",EXCE,4,2,1,45,"$574,000",11/9/2022,$302.58
70118,7510 Hurst  St ,"$289,000",6/1/2022,"1,168","1,252",FAIR,2,2,0,127,"$267,500",11/10/2022,$229.02
70119,2408 George Nick Connor  Dr ,"$124,000",6/17/2022,"1,084","1,232",FAIR,2,1,0,62,"$125,000",11/10/2022,$115.31
70118,1712 Joliet  St ,"$325,000",8/2/2022,"1,292","1,397",VRGD,3,2,0,75,"$330,000",11/10/2022,$255.42
70125,4500 Walmsley  Ave ,"$189,900",8/10/2022,"1,548","1,548",AVG,3,2,0,61,"$180,000",11/10/2022,$116.28
70124,874 Pontalba  St ,"$671,000",9/6/2022,"2,157","2,872",EXCE,3,2,0,37,"$595,000",11/10/2022,$275.85
70119,3176 Desaix  Blvd ,"$335,000",10/3/2022,"1,350","1,350",VRGD,3,2,0,5,"$335,000",11/10/2022,$248.15
70115,2905 Prytania  St ,"$759,000",10/11/2022,"1,614","1,824",EXCE,2,2,0,5,"$773,000",11/10/2022,$478.93
70124,332 Harney  St ,"$798,000",6/29/2022,"3,183","3,689",NEW,5,4,1,114,"$778,000",11/11/2022,$244.42
70125,6313 Pritchard  Pl ,"$274,900",9/22/2022,821,859,EXCE,2,2,0,3,"$275,000",11/11/2022,$334.96
70115,928 Ninth  St ,"$325,000",10/4/2022,742,773,VRGD,1,1,0,2,"$329,660",11/11/2022,$444.29
70124,240 Bellaire  Dr ,"$1,130,000",10/10/2022,"3,170","3,531",EXCE,4,2,1,4,"$1,075,000",11/14/2022,$339.12
70119,2219 Governor Nicholls  St ,"$325,000",10/13/2022,"1,199","1,222",NEW,2,2,1,5,"$325,000",11/14/2022,$271.06
70124,57 Thrasher  St ,"$500,000",10/21/2022,"1,521","1,647",EXCE,3,2,0,1,"$500,000",11/14/2022,$328.73
70115,2529 Soniat  St ,"$589,900",5/25/2022,"2,419","2,789",EXCE,4,3,0,148,"$583,000",11/15/2022,$241.01
70119,1131  N Dorgenois  St ,"$440,000",9/26/2022,"1,820","1,969",EXCE,3,2,0,3,"$440,000",11/15/2022,$241.76
70119,2925 Ponce De Leon  St ,"$735,000",10/12/2022,"1,740","2,010",EXCE,3,2,0,5,"$735,000",11/15/2022,$422.41
70119,2930 Grand Route St John  St ,"$275,000",5/6/2022,930,960,FAIR,1,1,0,116,"$255,000",11/16/2022,$274.19
70115,1507 Harmony  St ,"$1,250,000",9/1/2022,"3,202","3,432",EXCE,4,3,1,18,"$1,150,000",11/16/2022,$359.15
70124,6444 General Diaz  St ,"$650,000",9/12/2022,"2,443","2,443",EXCE,4,2,0,22,"$640,000",11/16/2022,$261.97
70119,1835 Industry  St ,"$140,000",7/28/2022,"1,058","3,300",VRGD,3,1,0,1,"$140,000",11/17/2022,$132.33
70115,811 Pleasant  St #811 ,"$445,000",10/5/2022,953,953,EXCE,2,2,0,9,"$438,000",11/17/2022,$459.60
70115,4023 Baronne  St ,"$499,000",11/8/2022,"1,970","2,533",VRGD,3,2,0,2,"$530,000",11/17/2022,$269.04
70119,2837 Ap Tureaud  Ave ,"$237,000",11/4/2021,"2,156","2,800",VRGD,3,2,1,161,"$230,000",11/18/2022,$106.68
70124,326 Harney  St ,"$798,000",6/29/2022,"3,183","3,689",NEW,5,4,1,117,"$799,000",11/18/2022,$251.02
70118,1842 Joliet  St ,"$330,000",9/29/2022,"1,421","1,649",EXCE,2,2,0,8,"$310,000",11/18/2022,$218.16
70119,2907 Dumaine  St ,"$439,000",9/30/2022,"1,768","2,082",EXCE,3,2,1,22,"$420,000",11/18/2022,$237.56
70118,8515 Freret  St ,"$599,000",10/4/2022,"1,437","1,502",EXCE,2,2,1,14,"$563,500",11/18/2022,$392.14
70119,3311 St Ann  St ,"$649,000",10/7/2022,"1,660","1,853",EXCE,3,2,1,7,"$634,000",11/18/2022,$381.93
70115,2835 Milan  St ,"$495,000",2/9/2022,"2,210","2,459",EXCE,3,2,1,259,"$460,000",11/21/2022,$208.14
70118,484 Audubon  St ,"$1,175,000",7/18/2022,"2,832","3,592",AVG,4,2,1,42,"$1,135,000",11/21/2022,$400.78
70124,32  W Park  Pl ,"$375,000",9/1/2022,"1,317","1,471",VRGD,3,2,0,20,"$375,000",11/21/2022,$284.74
70118,1219 Eagle  St ,"$439,000",9/5/2022,"1,755","2,019",EXCE,3,2,0,31,"$422,000",11/21/2022,$240.46
70124,201 12th  St ,"$719,000",9/24/2022,"2,664","2,850",EXCE,4,3,0,0,"$719,000",11/22/2022,$269.89
70119,119  S Murat  St ,"$475,000",10/3/2022,"2,178","4,783",AVG,4,2,0,4,"$460,907",11/22/2022,$211.62
70119,2320 Governor Nicholls  St ,"$529,500",7/12/2022,"2,213","2,526",EXCE,3,2,0,118,"$505,000",11/23/2022,$228.20
70119,1620 Duels  St ,"$127,000",9/29/2022,"1,450","1,650",FAIR,3,1,0,9,"$117,000",11/23/2022,$80.69
70119,3127 Dumaine  St ,"$334,500",10/3/2022,"1,107","1,107",VRGD,2,1,0,21,"$290,000",11/23/2022,$261.97
70115,824 Pleasant  St ,"$859,000",9/19/2022,"1,540","1,785",EXCE,2,2,0,44,"$760,000",11/28/2022,$493.51
70115,4021 Baronne  St ,"$460,000",10/3/2022,"1,920","1,976",VRGD,3,2,0,6,"$520,000",11/28/2022,$270.83
70115,1501 Napoleon  Ave ,"$975,000",10/13/2022,"2,333","2,563",EXCE,2,3,2,0,"$985,000",11/28/2022,$422.20
70125,6222  S Tonti ,"$345,000",11/1/2022,"1,200","1,200",AVG,2,1,0,27,"$345,000",11/28/2022,$287.50
